id, uuid, class_code, subject_code, chapter_code, topic_code, test_id, total_question, attemped_question, correct_answer, wrong_answer, timetaken, review_url, created_on, updated_on, created_by, updated_by, status
'1', '684288339067', '10', '296', '6733', '148918', '65727', '5', '5', '4', '1', '45', 'https://stgassessment.fliplearn.com/mod/quiz/review.php?attempt=1303&cmid=65727', '2019-04-24 15:07:41', '2019-04-24 15:07:41', NULL, NULL, '1'
'2', '684288339067', '10', '296', '6733', '148918', '65726', '5', '5', '2', '3', '71', 'https://stgassessment.fliplearn.com/mod/quiz/review.php?attempt=1305&cmid=65726', '2019-04-24 15:12:57', '2019-04-24 15:12:57', NULL, NULL, '1'
'3', '684288339067', '10', '296', '6733', '148918', '65726', '5', '5', '3', '2', '37', 'https://stgassessment.fliplearn.com/mod/quiz/review.php?attempt=1306&cmid=65726', '2019-04-24 15:15:10', '2019-04-24 15:15:10', NULL, NULL, '1'
'4', '684288339067', '10', '296', '6733', '148918', '65726', '5', '5', '4', '1', '50', 'https://stgassessment.fliplearn.com/mod/quiz/review.php?attempt=1307&cmid=65726', '2019-04-24 15:16:12', '2019-04-24 15:16:12', NULL, NULL, '1'
'5', '640780140005', '10', '301', '6805', '36214', '38212', '5', '5', '5', '0', '44', 'https://stgassessment.fliplearn.com/mod/quiz/review.php?attempt=1310&cmid=38212', '2019-04-24 15:27:34', '2019-04-24 15:27:34', NULL, NULL, '1'
'6', '640780140005', '10', '301', '6805', '36214', '38213', '5', '5', '4', '1', '58', 'https://stgassessment.fliplearn.com/mod/quiz/review.php?attempt=1311&cmid=38213', '2019-04-24 15:28:41', '2019-04-24 15:28:41', NULL, NULL, '1'
'7', '640780140005', '10', '293', '6710', '35925', '38002', '5', '1', '1', '0', '386', 'https://stgassessment.fliplearn.com/mod/quiz/review.php?attempt=1308&cmid=38002', '2019-04-24 15:29:19', '2019-04-24 15:29:19', NULL, NULL, '1'
'8', '640780140005', '10', '301', '6805', '36214', '38214', '5', '5', '5', '0', '38', 'https://stgassessment.fliplearn.com/mod/quiz/review.php?attempt=1312&cmid=38214', '2019-04-24 15:29:25', '2019-04-24 15:29:25', NULL, NULL, '1'
'9', '640780140005', '10', '301', '6805', '36214', '38214', '5', '5', '5', '0', '32', 'https://stgassessment.fliplearn.com/mod/quiz/review.php?attempt=1313&cmid=38214', '2019-04-24 15:30:14', '2019-04-24 15:30:14', NULL, NULL, '1'
